StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q2,Q10 CONTROL,Q11 SPLIT,Q12 FREE ALLOCATION_1,Q12 FREE ALLOCATION_2,Q12 FREE ALLOCATION_5,Q14,Q44,Q29,Q30,Q51,Q52,Q52_4_TEXT,Q50,Q3,Q24 Sharma/Morwitz,Q15,Q16,Q17,Q25,Q26,Q46,Q47,Q48,Q49,Q39,Q40,Q41,Q42,Q20,Q21,Q22,Q23,Q27_1,Q28_1,Q28_2,Q28_3,PROLIFIC_PID,AMF
2024-02-29 16:22:43,2024-02-29 16:35:30,IP Address,166.198.251.128,100,766,True,2024-02-29 16:35:31,R_1MlOiZGWdycvMvB,,,,,40.6713,-73.8943,anonymous,EN,0.800000011920929,YES,Donate all to Against Malaria Foundation,,,,,100,Extremely important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",18-24 years old,Male,,Black or African American,657f2c310745eab2771264d8,-,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,65,,77,,657f2c310745eab2771264d8,Against Malaria Foundation
2024-02-29 16:32:04,2024-02-29 16:36:39,IP Address,108.39.255.187,100,275,True,2024-02-29 16:36:40,R_3iwMiXYw8k8YRtk,,,,,40.5258,-79.8769,anonymous,EN,1,YES,,Split donation equally among the three charities,,,,50,Very important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",25-34 years old,Female,,White or Caucasian,63c84fe694d13f9acf91e978,-,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,75,75,75,75,63c84fe694d13f9acf91e978,Against Malaria Foundation
2024-02-29 16:33:40,2024-02-29 16:36:53,IP Address,107.77.198.194,100,193,True,2024-02-29 16:36:54,R_5e2pggq5aMUzXwa,,,,,32.7797,-96.8022,anonymous,EN,0.8999999761581421,YES,,Split donation equally among the three charities,,,,50,Moderately important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",45-54 years old,Female,,White or Caucasian,657c847339bbb2c8238df1c7,-,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,41,47,85,82,657c847339bbb2c8238df1c7,Against Malaria Foundation
2024-02-29 16:35:00,2024-02-29 16:39:12,IP Address,99.165.107.136,100,252,True,2024-02-29 16:39:13,R_67PrA2ts0rSDr4k,,,,,38.5904,-90.3467,anonymous,EN,1,YES,,,34,33,33,0,Extremely important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",18-24 years old,Non-binary / third gender,,White or Caucasian,6369dd3bd6a643dc7b42ce62,-,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,1,1,1,1,6369dd3bd6a643dc7b42ce62,Against Malaria Foundation
2024-02-29 16:37:15,2024-02-29 16:39:50,IP Address,70.163.188.140,100,155,True,2024-02-29 16:39:50,R_7maeCrlvVNdMnQp,,,,,33.5658,-112.1724,anonymous,EN,1,YES,Donate all to Against Malaria Foundation,,,,,0,Not at all important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",25-34 years old,Male,,Asian,65a8b977a0fb56ea563fff47,Not at all,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,,,,,,,,,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,4,,28,,65a8b977a0fb56ea563fff47,Against Malaria Foundation
2024-02-29 16:37:45,2024-02-29 16:40:39,IP Address,207.213.117.207,100,174,True,2024-02-29 16:40:40,R_6BYiiDKJvH6mv4i,,,,,29.9787,-95.5845,anonymous,EN,1,YES,Donate all to United to Beat Malaria,,,,,40,Moderately important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",18-24 years old,Male,,White or Caucasian,5e857c90346fba16450a02fd,-,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,47,,,40,5e857c90346fba16450a02fd,Against Malaria Foundation
2024-02-29 16:37:15,2024-02-29 16:40:47,IP Address,75.64.227.100,100,212,True,2024-02-29 16:40:47,R_5lRHyvXLIaGhzX9,,,,,32.4143,-90.1185,anonymous,EN,0.8999999761581421,YES,,,33,34,33,10,Very important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",18-24 years old,Male,,White or Caucasian,6578c0ce1348ad8e79a65d0b,-,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,100,100,100,100,6578c0ce1348ad8e79a65d0b,Against Malaria Foundation
2024-02-29 16:36:06,2024-02-29 16:41:05,IP Address,97.99.215.91,100,298,True,2024-02-29 16:41:05,R_3QrqOcaCvISqfDs,,,,,33.0287,-96.6826,anonymous,EN,1,YES,Donate all to United to Beat Malaria,,,,,25,Very important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",25-34 years old,Female,,White or Caucasian,65786b7e5c3bac0e25015fa3,-,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,,,,,,,,,60,,,61,65786b7e5c3bac0e25015fa3,Against Malaria Foundation
2024-02-29 16:37:34,2024-02-29 16:42:17,IP Address,74.221.1.199,100,282,True,2024-02-29 16:42:17,R_5yl0aZVpYizH7oP,,,,,34.4798,-91.5436,anonymous,EN,1,YES,,,0,0,100,90,Extremely important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",25-34 years old,Female,,White or Caucasian,5c958b7bd676900001e1a73b,-,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,,,,,,,,,90,,,90,5c958b7bd676900001e1a73b,Against Malaria Foundation
2024-02-29 16:31:25,2024-02-29 16:42:28,IP Address,73.210.190.22,100,662,True,2024-02-29 16:42:28,R_1DRB9hmShR5WVIV,,,,,41.9215,-87.6446,anonymous,EN,1,YES,Donate all to United to Beat Malaria,,,,,60,Moderately important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",55-64 years old,Female,,White or Caucasian,58f8a76359a9d400011c263c,-,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,,,,,,,,,29,,,50,58f8a76359a9d400011c263c,Against Malaria Foundation
2024-02-29 16:41:08,2024-02-29 16:43:29,IP Address,173.3.141.185,100,141,True,2024-02-29 16:43:30,R_30MMmSShvOlUbaw,,,,,40.8771,-73.0885,anonymous,EN,1,YES,,,30,30,40,5,Moderately important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",25-34 years old,Female,,White or Caucasian,61001f90f9c95e15086d7226,Not at all,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,75,50,50,50,61001f90f9c95e15086d7226,Against Malaria Foundation
2024-02-29 16:39:51,2024-02-29 16:44:38,IP Address,174.111.192.147,100,287,True,2024-02-29 16:44:38,R_3mWSfO7TRnvDKdb,,,,,36.0322,-79.8588,anonymous,EN,1,YES,,Split donation equally among the three charities,,,,60,Very important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",25-34 years old,Female,,White or Caucasian,5d8abb245ada2b00018b74ed,-,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,93,74,74,75,5d8abb245ada2b00018b74ed,Against Malaria Foundation
2024-02-29 16:39:08,2024-02-29 16:45:12,IP Address,67.189.247.187,100,364,True,2024-02-29 16:45:13,R_5FWEmPvA9OEwpZy,,,,,42.6351,-71.3014,anonymous,EN,0.800000011920929,YES,,,40,10,50,30,Very important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",25-34 years old,Female,,Asian,65e028f70057227f7badbeaf,-,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,70,100,50,100,65e028f70057227f7badbeaf,Against Malaria Foundation
2024-02-29 16:42:00,2024-02-29 16:45:53,IP Address,24.155.226.253,100,233,True,2024-02-29 16:45:54,R_1MEv08KOeIVoCl3,,,,,29.8737,-97.9361,anonymous,EN,1,YES,Donate all to Against Malaria Foundation,,,,,10,Moderately important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",25-34 years old,Female,,White or Caucasian,620297d1ef1cb18a1337c19a,-,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,30,,80,,620297d1ef1cb18a1337c19a,Against Malaria Foundation
2024-02-29 16:43:13,2024-02-29 16:46:26,IP Address,174.231.89.190,100,193,True,2024-02-29 16:46:27,R_3F3xVbsfhC2wXCV,,,,,39.7388,-104.9868,anonymous,EN,1,YES,,,80,20,0,25,Very important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",35-44 years old,Male,,White or Caucasian,59298c0b0b19ce0001202f22,-,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,75,65,90,,59298c0b0b19ce0001202f22,Against Malaria Foundation
2024-02-29 16:42:27,2024-02-29 16:46:46,IP Address,132.177.238.77,100,259,True,2024-02-29 16:46:47,R_70LdRLUe5ukTAwF,,,,,43.1197,-70.9241,anonymous,EN,1,YES,,,0,100,0,100,Extremely important,$100 Amazon gift card,"Yes, when I made my decision I assumed that it could have consequences involving real money",25-34 years old,Male,,White or Caucasian,6522652ede49fcb309f1831e,-,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,,,,,80,90,,,6522652ede49fcb309f1831e,Against Malaria Foundation
2024-02-29 16:43:58,2024-02-29 16:46:55,IP Address,104.187.48.189,100,176,True,2024-02-29 16:46:55,R_5f9vm6ieptHa96j,,,,,33.9243,-117.6105,anonymous,EN,0.800000011920929,YES,Donate all to The Malaria Consortium,,,,,10,Very important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",25-34 years old,Male,,Asian,5cba91f716ab74001672d747,-,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,,,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,14,40,,,5cba91f716ab74001672d747,Against Malaria Foundation
2024-02-29 16:44:30,2024-02-29 16:47:28,IP Address,74.110.204.10,100,177,True,2024-02-29 16:47:28,R_5CQw735tzdl1l0R,,,,,37.6239,-77.4309,anonymous,EN,1,YES,Donate all to Against Malaria Foundation,,,,,100,Very important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",18-24 years old,Female,,White or Caucasian,5c871711c558df00015663c9,-,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,100,,100,,5c871711c558df00015663c9,Against Malaria Foundation
2024-02-29 16:42:46,2024-02-29 16:48:29,IP Address,172.56.51.20,100,342,True,2024-02-29 16:48:29,R_7paL0DUVODBV8gj,,,,,29.8304,-95.3786,anonymous,EN,1,YES,,,40,40,20,50,Moderately important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",25-34 years old,Female,,White or Caucasian,5970ce4e5fa69e0001fc7381,-,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,71,100,100,53,5970ce4e5fa69e0001fc7381,Against Malaria Foundation
2024-02-29 16:44:40,2024-02-29 16:48:29,IP Address,68.34.87.133,100,229,True,2024-02-29 16:48:30,R_75XYTPumMaKKOv7,,,,,42.7606,-84.5563,anonymous,EN,1,YES,,,50,50,0,75,Extremely important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",25-34 years old,Female,,White or Caucasian,5c42bcb65aca820001f71328,-,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,90,90,90,,5c42bcb65aca820001f71328,Against Malaria Foundation
2024-02-29 16:43:42,2024-02-29 16:49:04,IP Address,172.59.64.72,100,322,True,2024-02-29 16:49:05,R_5E56SeTZvzjt6dj,,,,,30.1918,-81.6028,anonymous,EN,1,YES,,Split donation equally among the three charities,,,,90,Very important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",25-34 years old,Non-binary / third gender,,Other,60a2cee2b59ef2c89c0b388a,-,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,100,100,100,100,60a2cee2b59ef2c89c0b388a,Against Malaria Foundation
2024-02-29 16:46:57,2024-02-29 16:49:45,IP Address,209.222.213.210,100,168,True,2024-02-29 16:49:46,R_5r8KwQ4CswAsbLo,,,,,44.4156,-68.7929,anonymous,EN,1,YES,,,34,33,33,0,Moderately important,$100 Prolific bonus,"No, when I made my decision I did not believe that my decision could have consequences involving real money",18-24 years old,Female,,White or Caucasian,5fe26fc7f314ef64fb7328a9,-,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,50,49,49,50,5fe26fc7f314ef64fb7328a9,Against Malaria Foundation
2024-02-29 16:45:32,2024-02-29 16:50:38,IP Address,172.56.73.180,100,305,True,2024-02-29 16:50:38,R_6FOFqKnzx0LStXL,,,,,28.4627,-81.3954,anonymous,EN,1,YES,,,50,30,20,20,Very important,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",45-54 years old,Female,,White or Caucasian,5c0ea3d30fcb7c0001eab0d8,-,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,70,80,70,60,5c0ea3d30fcb7c0001eab0d8,Against Malaria Foundation
