StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q2,Q7,Q8,Q9,Q10,Q10_4_TEXT,Q11,Q12,Q14,Q15,Q16_1,Q16_5,Q18,Q19,Q20,Q22,Q23,Q24,Q25,Q27,Q28,Q29,Q30,Q31_1,Q66_1,Q66_2,Q33,Q34,PROLIFIC_PID
2024-04-04 15:51:48,2024-04-04 15:56:15,IP Address,172.56.176.50,100,266,True,2024-04-04 15:56:16,R_3DGPYkn4FqMDxhn,,,,,33.919,-117.2359,anonymous,EN,0.8999999761581421,YES,40,Slightly important,45-54 years old,Male,,White or Caucasian,6602e540b5139c44020220bf,,,50,50,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,50,50,50,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",6602e540b5139c44020220bf
2024-04-04 15:51:35,2024-04-04 15:56:25,IP Address,24.63.146.57,100,290,True,2024-04-04 15:56:26,R_5F3Y7aIfFzGbRWe,,,,,41.6253,-73.6808,anonymous,EN,1,YES,20,Moderately important,25-34 years old,Male,,White or Caucasian,6330e50102d0e9d363d139b2,,Donate all to Against Malaria Foundation,,,Somewhat agree,Neither agree nor disagree,Strongly agree,,,,,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,90,100,,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",6330e50102d0e9d363d139b2
2024-04-04 15:52:37,2024-04-04 15:56:53,IP Address,73.166.249.49,100,255,True,2024-04-04 15:56:53,R_2c6oH3kWPBbvHJn,,,,,29.65,-95.1485,anonymous,EN,0.8999999761581421,YES,45,Moderately important,35-44 years old,Male,,Black or African American,59c96ffd21454d000194c258,,Split donation equally among both the charities,,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,61,60,60,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",59c96ffd21454d000194c258
2024-04-04 15:56:37,2024-04-04 15:58:42,IP Address,129.62.66.200,100,124,True,2024-04-04 15:58:42,R_3ZRHFHN4ZsYFDrz,,,,,31.549,-97.1114,anonymous,EN,0.8999999761581421,YES,50,Very important,25-34 years old,Female,,White or Caucasian,63174baf2f76e2f3acf6076d,,,100,0,Strongly agree,Strongly disagree,Strongly agree,,,,,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,71,72,,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",63174baf2f76e2f3acf6076d
2024-04-04 15:55:22,2024-04-04 15:59:58,IP Address,71.241.151.64,100,276,True,2024-04-04 15:59:59,R_7AL09aUc8SJAlNG,,,,,40.8231,-73.9513,anonymous,EN,1,YES,50,Very important,35-44 years old,Male,,"White or Caucasian,Black or African American,Other",650c412ad5ca2b8f21fc963b,,,50,50,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,91,93,92,$100 Prolific bonus,"No, when I made my decision I did not believe that my decision could have consequences involving real money",650c412ad5ca2b8f21fc963b
2024-04-04 15:58:25,2024-04-04 16:01:10,IP Address,174.218.81.54,100,164,True,2024-04-04 16:01:10,R_1CtyNDLTC6tY6WJ,,,,,33.9576,-118.267,anonymous,EN,1,YES,40,Very important,18-24 years old,Female,,White or Caucasian,614a125a754b4a9660643d88,,Split donation equally among both the charities,,,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,62,52,51,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",614a125a754b4a9660643d88
2024-04-04 15:59:58,2024-04-04 16:01:11,IP Address,68.91.91.250,100,73,True,2024-04-04 16:01:12,R_4LNVttFwB167mKc,,,,,30.223,-81.7595,anonymous,EN,0.8999999761581421,YES,0,Extremely important,55-64 years old,Female,,Black or African American,602d8d1d64a0348196540909,,,,,,,,,,,,,,,,,,,,,602d8d1d64a0348196540909
2024-04-04 15:54:48,2024-04-04 16:02:13,IP Address,65.25.111.241,100,444,True,2024-04-04 16:02:13,R_58q8xfHF4xngmVb,,,,,40.7531,-82.5615,anonymous,EN,0.8999999761581421,YES,100,Slightly important,65+ years old,Female,,White or Caucasian,63d1dfc12952d4f6792d433d,,,100,0,Somewhat agree,Somewhat agree,Somewhat disagree,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,100,50,,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",63d1dfc12952d4f6792d433d
2024-04-04 15:59:46,2024-04-04 16:02:51,IP Address,24.22.79.208,100,185,True,2024-04-04 16:02:51,R_3Yz1G0sHoI1qUCJ,,,,,45.4804,-122.5891,anonymous,EN,1,YES,40,Very important,65+ years old,Female,,White or Caucasian,58d7896b4240e5000118f705,,,100,0,Strongly agree,Somewhat disagree,Somewhat agree,,,,,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,100,100,,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",58d7896b4240e5000118f705
2024-04-04 16:01:21,2024-04-04 16:03:10,IP Address,75.182.222.189,100,109,True,2024-04-04 16:03:11,R_1f6x4W443cKCgBC,,,,,35.5597,-78.2622,anonymous,EN,0.8999999761581421,YES,0,Moderately important,25-34 years old,Male,,White or Caucasian,60881febdca7113bb8e399b2,,,,,,,,,,,,,,,,,,,,,60881febdca7113bb8e399b2
2024-04-04 16:01:04,2024-04-04 16:03:11,IP Address,184.91.68.131,100,127,True,2024-04-04 16:03:12,R_1ptDhAqANiKUaG1,,,,,28.5978,-81.3024,anonymous,EN,1,YES,10,Slightly important,25-34 years old,Female,,White or Caucasian,5b81bd4309ee490001f84b76,,Split donation equally among both the charities,,,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,30,20,20,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",5b81bd4309ee490001f84b76
2024-04-04 16:01:51,2024-04-04 16:04:12,IP Address,173.88.83.111,100,141,True,2024-04-04 16:04:13,R_7tovTBvZ8WvvGj7,,,,,40.0536,-83.0115,anonymous,EN,0.8999999761581421,YES,0,Moderately important,25-34 years old,Female,,White or Caucasian,5b1345d2bd9c31000156d4a3,,,,,,,,,,,,,,,,,,,,,5b1345d2bd9c31000156d4a3
2024-04-04 15:56:01,2024-04-04 16:04:17,IP Address,96.5.249.1,100,495,True,2024-04-04 16:04:17,R_1rTJCA7U84uskTO,,,,,33.7542,-84.2601,anonymous,EN,1,YES,100,Extremely important,35-44 years old,Male,,Black or African American,64018f58d236aad3893f34b6,Donate all to United to Beat Malaria,,,,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,100,,100,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",64018f58d236aad3893f34b6
2024-04-04 16:04:23,2024-04-04 16:05:50,IP Address,68.198.235.206,100,87,True,2024-04-04 16:05:51,R_6ONP22RHEfuDoja,,,,,41.5977,-73.8895,anonymous,EN,0.8999999761581421,YES,0,Moderately important,25-34 years old,Female,,White or Caucasian,5faeb0771929e6000941ecc5,,,,,,,,,,,,,,,,,,,,,5faeb0771929e6000941ecc5
2024-04-04 16:00:14,2024-04-04 16:05:56,IP Address,71.244.165.134,100,341,True,2024-04-04 16:05:56,R_6GP2FY2mE89zaD8,,,,,39.1269,-76.698,anonymous,EN,1,YES,100,Moderately important,45-54 years old,Female,,Black or African American,65d0f4836f1938d9dbadc89b,,,70,30,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100,100,100,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",65d0f4836f1938d9dbadc89b
2024-04-04 16:02:45,2024-04-04 16:06:06,IP Address,128.103.224.74,100,201,True,2024-04-04 16:06:07,R_6CdGk5BZrBLfiH6,,,,,42.3737,-71.1284,anonymous,EN,0.8999999761581421,YES,20,Moderately important,25-34 years old,Female,,White or Caucasian,61041fc93ff9b89a9d7c47cc,Donate all to Against Malaria Foundation,,,,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,10,50,,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",61041fc93ff9b89a9d7c47cc
2024-04-04 16:03:50,2024-04-04 16:06:16,IP Address,12.190.236.31,100,145,True,2024-04-04 16:06:16,R_1JC2S6YH4RTMgIN,,,,,37.751,-97.822,anonymous,EN,0.8999999761581421,YES,40,Very important,25-34 years old,Female,,White or Caucasian,5fd5b5a8c19e0c41af96b96e,,,50,50,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,82,87,98,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",5fd5b5a8c19e0c41af96b96e
2024-04-04 16:03:57,2024-04-04 16:06:37,IP Address,96.95.125.137,100,159,True,2024-04-04 16:06:37,R_5nPz8AeqjrFCrnz,,,,,41.945,-87.7996,anonymous,EN,1,YES,89,Very important,35-44 years old,Female,,White or Caucasian,652d345727df655454e3310c,Donate all to Against Malaria Foundation,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,100,99,,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",652d345727df655454e3310c
2024-04-04 16:03:38,2024-04-04 16:07:09,IP Address,69.154.149.188,100,211,True,2024-04-04 16:07:10,R_3cpm3UcOWrwMdjj,,,,,42.6193,-82.961,anonymous,EN,1,YES,5,Very important,25-34 years old,Female,,White or Caucasian,636153cc9c77afc810365459,Donate all to Against Malaria Foundation,,,,Strongly disagree,Strongly disagree,Strongly disagree,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,90,30,,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",636153cc9c77afc810365459
2024-04-04 16:03:42,2024-04-04 16:07:53,IP Address,108.250.113.62,100,250,True,2024-04-04 16:07:53,R_20eQyDrXovvZQRP,,,,,36.8633,-87.4848,anonymous,EN,1,YES,10,Very important,25-34 years old,Female,,White or Caucasian,5d3df9b23bf3780015abf56f,Donate all to Against Malaria Foundation,,,,Somewhat disagree,Somewhat agree,Somewhat disagree,,,,,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,52,55,,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",5d3df9b23bf3780015abf56f
2024-04-04 16:04:45,2024-04-04 16:08:17,IP Address,68.127.190.184,100,211,True,2024-04-04 16:08:18,R_6LGphEFplrLJL3E,,,,,33.7873,-117.9231,anonymous,EN,1,YES,50,Slightly important,35-44 years old,Female,,Asian,5f287688ccd58219916e07af,,,30,70,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,35,51,67,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",5f287688ccd58219916e07af
2024-04-04 16:05:43,2024-04-04 16:08:24,IP Address,162.227.127.164,100,160,True,2024-04-04 16:08:24,R_1flzelBCwalA8sO,,,,,26.1783,-80.2734,anonymous,EN,1,YES,20,Very important,45-54 years old,Female,,White or Caucasian,63b884f276e5f11731241412,,Donate all to Against Malaria Foundation,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,90,100,,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",63b884f276e5f11731241412
2024-04-04 16:02:48,2024-04-04 16:08:25,IP Address,75.168.149.181,100,337,True,2024-04-04 16:08:26,R_3pMJWFLDHNm2DLj,,,,,45.0228,-93.3012,anonymous,EN,1,YES,75,Extremely important,55-64 years old,Female,,White or Caucasian,660c4da9e91642764109840f,,,100,0,Somewhat agree,Neither agree nor disagree,Somewhat agree,,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,81,100,,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",660c4da9e91642764109840f
2024-04-04 16:03:30,2024-04-04 16:08:29,IP Address,204.186.17.66,100,299,True,2024-04-04 16:08:30,R_2y8ATLLVoIeFIKG,,,,,40.986,-75.2436,anonymous,EN,0.8999999761581421,YES,100,Very important,35-44 years old,Female,,White or Caucasian,660d5bcccf27b92fca721e40,,Split donation equally among both the charities,,,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,75,73,73,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",660d5bcccf27b92fca721e40
2024-04-04 16:05:56,2024-04-04 16:08:58,IP Address,76.32.108.163,100,182,True,2024-04-04 16:08:59,R_7LippGigi3ATX6H,,,,,34.0123,-118.3757,anonymous,EN,0.8999999761581421,YES,20,Extremely important,25-34 years old,Male,,White or Caucasian,600628028f2211980fd1632c,,Split donation equally among both the charities,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,80,100,100,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",600628028f2211980fd1632c
2024-04-04 16:04:52,2024-04-04 16:09:01,IP Address,100.1.165.222,100,248,True,2024-04-04 16:09:02,R_32yxHfnV580nPTl,,,,,40.6753,-74.2275,anonymous,EN,1,YES,30,Very important,25-34 years old,Female,,Black or African American,65c117cf47aa1e88e5b5872b,Donate all to United to Beat Malaria,,,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,,,,,100,,100,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",65c117cf47aa1e88e5b5872b
2024-04-04 16:06:24,2024-04-04 16:09:34,IP Address,47.160.80.200,100,189,True,2024-04-04 16:09:34,R_5GH0o9dFT6MVfGQ,,,,,32.9376,-97.0829,anonymous,EN,0.8999999761581421,YES,7,Moderately important,18-24 years old,Female,,Asian,65cb930d5b1fb7f50e4a3c55,,Donate all to Against Malaria Foundation,,,Somewhat agree,Strongly agree,Somewhat disagree,,,,,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,60,75,,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",65cb930d5b1fb7f50e4a3c55
2024-04-04 16:05:21,2024-04-04 16:09:47,IP Address,68.227.226.223,100,266,True,2024-04-04 16:09:48,R_7LCmUSjogJosPgI,,,,,33.3825,-111.875,anonymous,EN,1,YES,40,Very important,45-54 years old,Female,,White or Caucasian,63d7e0cbacf1e02164fc2e9a,Donate all to United to Beat Malaria,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,,,,,50,,58,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",63d7e0cbacf1e02164fc2e9a
2024-04-04 16:03:57,2024-04-04 16:09:59,IP Address,71.56.73.108,100,362,True,2024-04-04 16:09:59,R_7M4E6it0lcrqKI2,,,,,33.8266,-84.6007,anonymous,EN,0.8999999761581421,YES,50,Extremely important,25-34 years old,Male,,"White or Caucasian,Asian",63624e182de230be2be1f64c,,Donate all to United to Beat Malaria,,,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,,,,,100,,100,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",63624e182de230be2be1f64c
2024-04-04 16:07:09,2024-04-04 16:10:07,IP Address,76.188.47.191,100,177,True,2024-04-04 16:10:07,R_5qTMrgfU534G1hE,,,,,41.8768,-80.7836,anonymous,EN,0.8999999761581421,YES,1,Not at all important,45-54 years old,Male,,White or Caucasian,62cccdcadf4fdbc4424844d5,,Donate all to Against Malaria Foundation,,,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,,,,,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,50,50,,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",62cccdcadf4fdbc4424844d5
2024-04-04 16:06:33,2024-04-04 16:10:17,IP Address,73.239.236.19,100,223,True,2024-04-04 16:10:17,R_7Hnoj3JSP5G7feQ,,,,,47.9005,-122.2472,anonymous,EN,1,YES,100,Extremely important,55-64 years old,Female,,White or Caucasian,65ca65d6d3c990b9ae7b6b00,Donate all to Against Malaria Foundation,,,,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,10,62,,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",65ca65d6d3c990b9ae7b6b00
2024-04-04 16:02:03,2024-04-04 16:10:37,IP Address,174.243.48.27,100,514,True,2024-04-04 16:10:38,R_7n1Me5ByHCwxIBG,,,,,37.0504,-93.3002,anonymous,EN,0.800000011920929,YES,40,Very important,35-44 years old,Female,,Black or African American,6609a75c34dd69980d221cf8,,,70,30,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,92,89,55,$100 Prolific bonus,"Yes, when I made my decision I assumed that it could have consequences involving real money",6609a75c34dd69980d221cf8
2024-04-04 16:10:17,2024-04-04 16:10:42,IP Address,68.161.201.115,100,24,True,2024-04-04 16:10:42,R_3KwjZKxmjTqIa9E,,,,,40.6295,-74.0938,anonymous,EN,1,YES,0,Slightly important,18-24 years old,Male,,White or Caucasian,63d4c224883177e5c3a652e9,,,,,,,,,,,,,,,,,,,,,63d4c224883177e5c3a652e9
